"Delete Rule","Supprimer la règle"
"Save Rule","Sauvegarder la règle"
"You deleted the Rule.","Vous avez supprimé la règle."
"We can't find a Rule to delete.","Impossible de trouver une règle à supprimer."
"This Rule no longer exists.","Cette règle n'existe plus."
"Edit Rule","Modifier la règle"
"New Rule","Nouvelle règle"
"Rules","Règles"
"Edit Rule %1","Modifier la règle %1"
"Rule","Règle"
"You saved the Rule.","Vous avez sauvegardé la règle."
"Something went wrong while saving the Rule.","Une erreur s'est produite lors de l'enregistrement de la règle."
"Update Rule","Modifier la règle"
"Could not save the rule: %1","Impossible d'enregistrer la règle : %1"
"Rule with id ""%1"" does not exist.","La règle avec l'ID ""%1"" n'existe pas."
"Could not delete the Rule: %1","Impossible de supprimer la règle : %1"
"Delete ""${ $.$data.title }""","Supprimer ""${ $.$data.title }"""
"Are you sure you want to delete the ""%1"" rule?","Êtes-vous certain(e) de vouloir supprimer la règle ""%1"" ?"
"Identifier","Identifiant"
"Directive","Directive"
"Value type","Type de valeur"
"Algorithm","Algorithme"
"Value","Valeur"
"Add new Rule","Ajouter une nouvelle règle"
"General","Général"
"Content Security Policy - Rules","Content Security Policy - Règles"
"Policy Rules","Règles"
"CSP rules defined in MageSteady > Content Security Policy > Rules will replace the ones defined in csp_whitelist.xml files.","Les règles CSP définies dans MageSteady > Content Security Policy > Règles vont remplacer celles qui sont définies dans les fichiers csp_whitelist.xml"
"A rule with the same identifier already exists in the selected store.","Une règle avec le même identifiant existe déjà dans le store sélectionné."
"Import XML rules","Importer les règles XML"
"This will remove all existing rules and replace them with those listed in csp_whitelist.xml files.","Cela va supprimer toutes les règles existantes et les remplacer par celles qui sont listées dans les fichiers csp_whitelist.xml"
"XML rules were successfully imported.","Les règles XML ont été importées avec succès."
"CSP rules","Règles CSP"
"Replace all","Remplacer tout"
"The existing rules data are replaced with new data.<br/><b>Caution: all existing rules will be removed before importing the file.</b><br/>You can export existing rules from the listing.","Les règles existantes sont remplacées par les nouvelles données.<br/><b>Attention : toutes les règles actuelles seront supprimées avant d'importer le fichier.</b><br/>Vous pouvez exporter les règles actuelles depuis le listing."
"Violation Reports","Rapports de violation"
"This violation report no longer exists.","Ce rapport de violation n'existe plus."
"Violation Report","Rapport de violation"
"Violation Report %1","Rapport de violation %1"
"Content Security Policy - Violation Reports","Content Security Policy - Rapports de violation"
"Blocked URL","URL bloquée"
"Document URL","URL de la page"
"Effective Directive","Directive effective"
"Source File","Fichier source"
"Clear Violation Reports","Vider les rapports de violation"
"This will remove all violation reports.","Cela va supprimer tous les rapports de violation."
"Violation Reports were successfully cleared.","Les rapports de violation ont été vidés avec succès."
"Enable rules management","Activer la gestion des règles"
"Enable violation reports","Activer les rapports de violation"
"History size","Taille de l'historique"
"Enable restrict mode (adminhtml)","Activer le mode strict (adminhtml)"
"Enable restrict mode (frontend)","Activer le mode strict (frontend)"
"CSP violation reports will be collected in MageSteady > Content Security Policy > Violation Reports.<br/><strong>Please be aware that this will only work if your website is publicly accessible and has a valid SSL certificate.</strong>","Les rapports de violation seront collectés dans MageSteady > Content Security Policy > Rapports de violation.<br/><strong>Veuillez noter que cela ne fonctionnera que si votre site est accessible publiquement avec un certificat SSL valide.</strong>"
"Violation reports history will be cleaned periodically to keep only this number of entries.","Les rapports de violation seront vidés périodiquement pour conserver seulement ce nombre d'entrées."
"CSP rules will be enforced and external resources that are not listed in your whitelist will be blocked by your visitors' browser.","Les règles CSP seront appliquées strictement, et les ressources externes qui ne sont pas listées dans votre politique CSP seront bloquées par les navigateurs de vos visiteurs."
"CSP rules will be enforced and external resources that are not listed in your whitelist will be blocked by your visitors' browser.<br><strong>Please ensure you have allowed reCAPTCHA's script if you have it configured, otherwise you won't be able to log in to your backoffice.</strong>","Les règles CSP seront appliquées strictement, et les ressources externes qui ne sont pas listées dans votre politique CSP seront bloquées par les navigateurs de vos visiteurs.<br/><strong>Veuillez vous assurer d'avoir autorisé le script reCAPTCHA si vous l'avez configuré, sinon vous ne pourrez plus vous connecter à votre backoffice.</strong>"
"Identifier cannot be empty","L'identifiant ne peut pas être vide"
"Directive cannot be empty","La directive ne peut pas être vide"
"Value type cannot be empty","Le type de valeur ne peut pas être vide"
"Value cannot be empty","La valeur ne peut pas être vide"
"Store ID cannot be empty","L'ID boutique ne peut pas être vide"
"Algorithm cannot be empty if value type is ""hash""","L'algorithme ne peut pas être vide si le type de valeur est ""hash"""
"Invalid algorithm","Algorithme invalide"
"Invalid directive","Directive invalide"
"Invalid value type","Type de valeur invalide"
"Invalid store ID","ID boutique invalide"
